"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"LKF5-N3C",NA,"Mary Crosse","1640 - 1700",60,"USA",9,12
"LKFG-K4Q",NA,"Sarah Freeman","1682 - 1743",61,"USA",14,9
"LKKM-D3W",NA,"Dorothy Thomas","1664 - 1727",63,NA,8,8
"LKKM-HV9",NA,"Henderick Pieterszen Brass","1615 - 1692",77,"Netherlands",13,0
"LKN9-H4D",NA,"Margaret Wallace","Unknown - Unknown",NA,NA,3,9
"LKN9-TH4",NA,"Hannah Cloyes","1652 - 1730",78,"USA",12,7
"LLCM-V5L",NA,"Jane Batchelder","1669 - 1735",66,"USA",12,8
"LR24-119",NA,"Meribah Wardell","1637 - 1679",42,"USA",9,7
"LR24-1R6",NA,"Francis Littlefield","1635 - 1674",38,NA,9,10
"LR8R-S2P",NA,"Margery Everard","1594 - Unknown",70,"UK:Great Britain",14,0
"LR99-J8V",NA,"Mary Smith","1624 - 1712",87,"UK:Great Britain",8,11
"LRF8-WJK",NA,"William Drew","1627 - 1669",42,"UK:Great Britain",6,4
"LRQS-TPB",NA,"Mehitable Dalton","1640 - 1678",38,"USA",5,2
"LT3J-BXN",NA,"Captain John Heard","1612 - 1689",76,"UK:Great Britain",16,3
"LTCX-J3D",NA,"Rachel Adams","1662 - 1731",69,"USA",13,0
"LTVD-9KZ",NA,"Jan Corneliszen Losee","1625 - 1687",62,NA,10,2
"LV12-SYM",NA,"James Finlayson","1653 - 1687",34,"UK:Great Britain",3,0
"LV52-SXP",NA,"Hannah Timberlake","1656 - 1713",56,"USA",8,0
"LVP9-BT7",NA,"Thomas Norton","1609 - 1648",39,"UK:Great Britain",7,6
"LVP9-HZX",NA,"John Griffin","1645 - 1688",43,"USA",10,4
"LVX9-THW",NA,"Edward Thurston II","Unknown - 1706",85,NA,12,1
"LWX5-LLN",NA,"Samuel Webber","1656 - 1716",60,"USA",13,5
"LY4H-TSJ",NA,"Grace Alice Alcock","1601 - 1665",64,"UK:Great Britain",9,3
"LYB8-8WW",NA,"Walter Allen","1646 - 1728",82,"UK:Great Britain",7,6
"LZ21-81H",NA,"Mary Peabody","1641 - 1719",78,"USA:49",6,8
"LZ25-2N3",NA,"Hannah Goodale","1645 - 1677",32,"USA",6,7
"LZ4Z-H4H",NA,"Elizabeth Edwards","1623 - 1670",46,"UK:Great Britain",10,5
"LZ6X-TXC",NA,"Samuel Hale","1615 - 1693",78,"UK:Great Britain",8,4
"LZCT-RFR",NA,"Charles Pine","Unknown - Unknown",81,NA,5,7
"LZF3-XZR",NA,"Mainwaring Hilton","1646 - 1671",25,"USA",1,3
"LZFD-JW4",NA,"Mathew Ham","1624 - 1663",39,"UK:Great Britain",3,1
"LZG4-W67",NA,"Grace Balster","1677 - Unknown",91,"UK:Great Britain",5,0
"LZGJ-9XM",NA,"Judith Smith","1636 - 1683",47,"UK:Great Britain",8,0
"LZGR-5LC",NA,"Peter Woodward Jr","1638 - 1721",83,"USA",10,3
"LZJP-T5K",NA,"Anne Winchurst","1632 - 1729",97,"UK:Great Britain",12,0
"LZKD-8Q1",NA,"Grace Wells","Unknown - 1669",62,NA,6,2
"LZKV-7BP",NA,"Benjamin Ruggles","1676 - 1708",32,"USA",8,2
"LZKW-MTM",NA,"Daniel Collins Sr","1648 - 1690",42,"USA",10,12
"LZL3-28X",NA,"Robert Moulton Sr.","1661 - 1732",70,"USA",4,7
"LZNF-9WC",NA,"Averina Vibert","1618 - 1678",60,"UK:Great Britain",4,3
"M2ML-68T",NA,"Richard Lanphear - Lanphere","1594 - 1665",71,"UK:Great Britain",4,8
"M3TL-K9N",NA,"John Goodrich","1618 - 1680",62,"UK:Great Britain",10,7
"M9YQ-FY6",NA,"Thomas Baston","1648 - 1713",65,"USA",11,0
"MF9F-3TD",NA,"Mary Mayo","1661 - 1726",65,"UK:Great Britain",10,0
"MFDQ-RHW",NA,"Deborah Thomas","1648 - 1709",61,"USA",8,0
"MG1W-N1H",NA,"Sarah Chamberlain","1649 - 1717",68,"USA",11,6
"MG35-3MM",NA,"Elizabeth Mott","1629 - 1694",65,"UK:Great Britain",12,5
"MKCV-YF1",NA,"Mary Brown","1656 - Unknown",NA,"USA",1,2
"MKZZ-DJN",NA,"Elizabeth Middleton","1649 - 1695",46,"USA",6,0
"MLZ1-77R",NA,"Hannah","1615 - Unknown",NA,"UK:Great Britain",10,0
"MRFR-PJW",NA,"Mary Cross","1640 - 1696",55,"USA",9,4
"MVB8-TK8",NA,"Robert Rose Sr","1594 - 1665",70,"UK:Great Britain",14,0
"MVSB-QZ8",NA,"James Bunker","1628 - 1698",70,"UK:Great Britain",6,0
"21JK-MZN",NA,"Abraham Vibert","1584 - Unknown",56,"UK:Great Britain",5,0
"2472-Q4C",NA,"Margaret Peart","1615 - 1642",27,"UK:Great Britain",4,3
"24R3-34W",NA,"Mary Merritt","1632 - 1737",104,"UK:Great Britain",6,5
"24RL-5Q2",NA,"Prudence Heath","1597 - 1631",33,NA,8,9
"278V-D5D",NA,"Richard Cater II","1640 - 1702",62,"UK:Great Britain",4,7
"27CC-7NW",NA,"Arthur Hathaway","1605 - 1671",66,"UK:Great Britain",1,0
"2CNY-4TZ",NA,"John Cloyes","1604 - 1676",72,"UK:Great Britain",11,0
"2J3H-VNX",NA,"Abigail Leete","1648 - 1711",63,"USA",7,9
"2M5Y-XNY",NA,"Matthew Irons","1615 - 1661",46,"UK:Great Britain",11,0
"2Z35-FWN",NA,"Johan Emrich Neidhofer","1648 - Unknown",NA,"Germany",1,0
"933D-4PJ",NA,"Mary Turner","1626 - 1669",43,"UK:Great Britain",7,0
"93WJ-W32",NA,"Sarah Warren","Unknown - 1696",83,"UK:Great Britain",5,6
"98KF-K7W",NA,"Margaret Page","1629 - 1699",70,"UK:Great Britain",9,8
"99H5-6S1",NA,"Mrs Arthur Hathaway","1607 - Unknown",NA,"UK:Great Britain",1,0
"99WH-WYF",NA,"John Cooke","Unknown - 1695",88,NA,5,6
"9CH3-3YK",NA,"Susanna Bosworth","1619 - 1672",53,"UK:Great Britain",4,2
"9CXJ-RQ8",NA,"Dorothy Cotton","1599 - Unknown",95,"UK:Great Britain",12,0
"9FDP-FP8",NA,"Richard Alcock","1563 - 1601",38,"UK:Great Britain",4,1
"9H7T-23M",NA,"John Ruggles Jr","1633 - 1713",79,"UK:Great Britain",8,2
"9HLS-K82",NA,"Anna Jordan","1617 - 1677",60,"UK:Great Britain",13,2
"9M1J-RT8",NA,"Elizabeth Cutler","1590 - 1649",59,"UK:Great Britain",4,17
"9M6R-HDZ",NA,"Mary Buckett","1605 - 1676",71,NA,9,0
"9NSH-J3W",NA,"Robert Norton","1575 - 1635",60,"USA",7,10
"FYFQ-6H2",NA,"Johanna Faxon","Unknown - 1694",66,"UK:Great Britain",10,2
