"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"GM1G-XC9",NA,"Matturin Allard","1650 - 1737",87,"France",1,0
"GW19-DFG",NA,"Ellen McCarthy","Unknown - Unknown",NA,NA,5,0
"GW1M-RG9",NA,"Derby McCarthy","Unknown - Unknown",NA,"Ireland",5,0
"KCCX-WK8",NA,"Luke Hitchcock II","1655 - 1727",71,"USA",12,3
"KFL4-ZYS",NA,"Anna Catharina Elisabetha Mueller","1681 - 1752",70,"Germany",8,6
"KGYZ-N8J",NA,"Johann Georg Lang","1691 - 1767",76,"Germany",5,5
"KGYZ-NDY",NA,"Eva Steck","1688 - 1770",82,"Germany",5,4
"KHHB-HB4",NA,"Sarah Clary","1647 - 1730",83,"USA",8,2
"KHMC-TD9",NA,"Christian Hopffner","1651 - 1724",73,"Germany",1,0
"KL75-PPK",NA,"Joshua Child","1658 - 1730",72,"USA",11,10
"KN45-N43",NA,"Mary Peacock","1656 - 1719",63,"USA",15,4
"KN6H-9WZ",NA,"Joseph Root","1640 - 1711",71,"USA",8,0
"KNCK-1CY",NA,"Rachel Rice","1664 - 1730",66,"USA",9,9
"KNCK-546",NA,"Hannah Strong","1670 - 1762",92,"USA",11,14
"KNDX-F29",NA,"Bethiah Wood","1660 - 1731",71,"USA",8,8
"KNHZ-BKS",NA,"John Huckins","1649 - 1678",29,"USA",5,3
"KP7J-B8B",NA,"Hanß Peter Stober","1683 - 1759",75,"Germany",8,7
"KZVS-M8L",NA,"Anna Sabina","Unknown - Unknown",NA,NA,1,0
"KZWW-9TW",NA,"Arnoldus Losse","1646 - Unknown",NA,"Germany",9,0
"L1WP-HSH",NA,"Lieutenant James Brown Jr.","1655 - 1718",63,"USA",12,9
"L2TF-JPF",NA,"Ralph Hutchinson","1635 - 1703",68,"UK:Great Britain",9,4
"L4KV-1FR",NA,"Samuel Bliss","1624 - 1720",96,"UK:Great Britain",12,8
"L4L5-1LV",NA,"Anna Petronella Wendel","1678 - 1752",73,"Germany",13,1
"L51C-7Y5",NA,"Mrs. Johann Philipp Cloninnger","1667 - Unknown",NA,"Germany",1,0
"L5GN-GDX",NA,"Elizabeth Morris","1665 - 1752",86,"USA",11,8
"L5JF-K6Y",NA,"Rebecca Butler","1664 - 1751",87,"USA",2,13
"L5NP-CRX",NA,"Samuel Wright","1674 - 1734",59,"USA",10,12
"L5YG-FFJ",NA,"UNKNOWN WIFE","1653 - Unknown",NA,"USA",1,0
"L68Y-W73",NA,"Alice Walcott","1636 - 1714",77,"USA",13,7
"L691-VS5",NA,"Hannah Stoddard","1638 - 1690",53,"USA",7,0
"L6KF-F5M",NA,"John Vinton","1650 - 1727",77,"USA",9,6
"L6W5-C7D",NA,"Elizabeth Eames","1659 - 1727",68,"USA",7,8
"L78G-KDF",NA,"Benjamin Carpenter","1663 - 1738",74,"USA",11,4
"L7BR-K58",NA,"Anthoni Kieffer","1653 - 1714",60,"Germany",8,7
"L7BR-KBB",NA,"Anna Margretha Pfattheicher","1653 - 1716",62,"Germany",8,4
"L8BJ-2MB",NA,"Elizabeth Fry","1639 - 1696",56,"USA",9,1
"L8QR-D4S",NA,"Hannah Fox","1648 - 1713",64,"USA",7,7
"LB1M-QH4",NA,"Hannah Green","1659 - 1740",80,"USA",9,5
"LBBQ-GFK",NA,"Mehitabel Dimmock","1642 - 1676",34,"USA",8,6
"LBKD-DLW",NA,"Hannah Cobb","1639 - 1729",89,"USA",7,6
"LC35-711",NA,"Mary Hitchcock","1638 - 1683",45,"USA",5,4
"LC8R-19D",NA,"Elizabeth Smith","1629 - 1713",84,"UK:Great Britain",10,0
"LCBW-SWD",NA,"Thomas Drury","1668 - 1723",55,"USA",9,3
"LCDW-TTJ",NA,"Edward Ainsworth","1652 - 1740",88,"UK:Great Britain",16,0
"LCJJ-LWC",NA,"Joanna Hemenway","1670 - 1748",78,"USA",16,6
"LCMQ-16C",NA,"John Perry II","1644 - 1724",80,"UK:Great Britain",8,2
"LCT8-QNC",NA,"Susanna Clark","1672 - Unknown",NA,"USA",9,8
"LCVH-3YC",NA,"Elizabeth Tilley","1632 - 1684",52,"USA",8,1
"LDYR-KNY",NA,"Margaret Denison","1657 - 1741",83,NA,12,10
"LH3G-8GQ",NA,"John Mason","1693 - 1755",62,"USA",1,4
"LH56-JS6",NA,"Johan Philip Cloniger","1665 - Unknown",NA,"Germany",1,2
"LHJB-79B",NA,"Josiah Bowen","1670 - 1703",33,"USA",3,5
"LHLH-MXK",NA,"John Eames","1642 - 1733",91,"USA",12,3
"LHLW-GNY",NA,"Melatiah Lothrop","1646 - 1712",65,"USA",9,8
"LHTJ-MDY",NA,"Rebeckah Sykes","1678 - 1760",82,"USA",11,9
"LHW9-JQK",NA,"Edward Morris","1630 - 1689",59,"UK:Great Britain",9,0
"LHXD-XP1",NA,"Ephraim Cutter","1651 - 1731",80,"USA",8,6
"LJLF-Z6N",NA,"Hannah Livermore","1633 - 1678",45,"USA",13,13
"LK38-KF5",NA,"Anna Apollonia Hedderich","1683 - 1749",65,"Germany",24,0
"LKKM-4PT",NA,"Thomas Tuttle","1634 - 1710",75,"UK:Great Britain",9,11
"LKP3-3DM",NA,"Jurgen Matthias","1650 - Unknown",NA,"Germany",4,0
"LKP3-3X1",NA,"Catharina Gromman","1650 - Unknown",NA,"Germany",4,0
"LR9T-GCT",NA,"Dominique GRANDADAM","1670 - 1735",65,"France",4,6
"LR9T-K1H",NA,"Marie MARTIN","1670 - 1733",63,"France",4,1
"LT45-9RY",NA,"Nicolas Marchal","1652 - 1716",64,"France",3,1
"LT45-QNY",NA,"Marie Charton","1652 - 1693",41,"France",3,1
"LTBT-WT8",NA,"Sarah Clark","1667 - 1711",44,"USA",9,13
"LTHR-BF4",NA,"Abigail Wyman","1659 - 1720",61,"USA",14,11
"LTJP-R2B",NA,"Nathaniel Richardson","1651 - 1714",63,"USA",15,6
"LTLB-28N",NA,"Cornelius Hurlbut","1654 - 1751",97,"USA",2,8
"LTMW-K1B",NA,"Edward Bridge","1668 - 1733",65,"USA",9,5
"LTQC-LHQ",NA,"Samuel Ely Sr.","1635 - 1692",57,"USA",17,1
"LTQC-V2H",NA,"Mary Day","1641 - 1725",83,"USA",17,3
"LTWN-55N",NA,"Mary Ansel","1629 - 1713",84,"UK:Great Britain",15,1
"LTYS-JQZ",NA,"William Clark Jr.","1656 - 1725",68,"USA",14,10
"LV5Z-5JJ",NA,"William Tryon","1645 - 1711",66,"UK:Great Britain",10,7
"LV7K-8HZ",NA,"Lt. Nathan Fiske Jr","1642 - 1694",51,"USA",9,6
"LV95-Z4C",NA,"Sarah Burt","1656 - 1746",90,"USA",13,6
"LVCW-PN5",NA,"James N. Nichols","1637 - 1694",57,"USA",8,0
"LVJL-486",NA,"William Sands","1664 - 1750",86,"UK:Great Britain",2,5
"LVJL-4V9",NA,"Elizabeth Schaferin","1678 - 1778",100,"Germany",2,0
"LVNN-6RY",NA,"Anna Kumpf","1690 - 1750",59,"Germany",6,6
"LVWW-M3G",NA,"Stephen Richardson","1649 - 1717",67,"USA",14,8
"LW7N-TGB",NA,"Thomas Flegg","Unknown - 1698",76,"UK:Great Britain",12,3
"LY26-P7P",NA,"Anna Maria Barbara","1672 - Unknown",NA,"France",7,0
"LY41-WWS",NA,"Ralph Russell","Unknown - Unknown",49,NA,4,0
"LYM9-4DT",NA,"Elizabeth Moore","1628 - 1705",77,"UK:Great Britain",10,11
"LYYL-XK7",NA,"Mary Ann Felt","1639 - 1725",86,"USA",8,9
"LYYR-DKX",NA,"Gershom Wheelock","1632 - 1684",52,"UK:Great Britain",7,11
"LZCP-LLD",NA,"Isaac Learned II","1655 - 1737",81,"USA",11,6
"LZFW-HTM",NA,"Deliverance Packard","1652 - Unknown",56,"USA",16,14
"LZLD-3L6",NA,"Sarah Bigelow","1659 - 1743",83,"USA",11,13
"LZLS-915",NA,"Sarah Hartshorn","1678 - 1750",72,"USA",9,11
"LZLW-TV9",NA,"Samuel Guild","1677 - 1750",72,"USA",9,9
"LZLZ-84K",NA,"Thomas Gleason","1637 - 1705",68,"UK:Great Britain",7,11
"LZNP-9KM",NA,"John Coolidge II","1630 - 1691",61,"UK:Great Britain",14,6
"LZP7-4MD",NA,"Joseph Lathrop","Unknown - 1702",78,NA,13,7
"LZTX-TXS",NA,"Hannah Bidwell","1658 - 1696",38,"USA",9,6
"LZWQ-4FR",NA,"Johan Peter Becker","1671 - 1748",76,"Germany",14,2
"M1H8-LPQ",NA,"Hannah Powell","1641 - 1710",69,"USA",9,7
"MCQW-52D",NA,"Mary Steele","1652 - 1688",35,"USA",8,0
"MF8T-9KF",NA,"Mary Leonard","1647 - 1723",75,"USA",12,14
"MFGB-DXQ",NA,"Sergeant Daniel Lester","1642 - 1716",73,"USA",7,7
"MKGN-36F",NA,"Mrs. Mary Flegg","1619 - 1702",84,"UK:Great Britain",12,0
"MM37-JYJ",NA,"George Way","1614 - 1690",76,"UK:Great Britain",10,5
